version,file_name,matched_id,modality,detection,start,end,length,valid_length,relative_start,relative_length
unaligned,unaligned_version_22.pkl,,vision,heuristic_internal_zeros,9,10,2,41,0.21951219512195122,0.04878048780487805
unaligned,unaligned_version_22.pkl,,vision,heuristic_internal_zeros,12,14,3,41,0.2926829268292683,0.07317073170731707
unaligned,unaligned_version_22.pkl,,vision,heuristic_internal_zeros,16,23,8,41,0.3902439024390244,0.1951219512195122
unaligned,unaligned_version_22.pkl,,vision,heuristic_internal_zeros,25,26,2,41,0.6097560975609756,0.04878048780487805
unaligned,unaligned_version_22.pkl,,vision,heuristic_internal_zeros,28,28,1,41,0.6829268292682927,0.024390243902439025
unaligned,unaligned_version_22.pkl,,vision,heuristic_internal_zeros,30,30,1,41,0.7317073170731707,0.024390243902439025
unaligned,unaligned_version_22.pkl,,vision,heuristic_internal_zeros,36,36,1,41,0.8780487804878049,0.024390243902439025
unaligned,unaligned_version_23.pkl,,audio,heuristic_internal_zeros,2,4,3,76,0.02631578947368421,0.039473684210526314
unaligned,unaligned_version_23.pkl,,audio,heuristic_internal_zeros,6,6,1,76,0.07894736842105263,0.013157894736842105
unaligned,unaligned_version_23.pkl,,audio,heuristic_internal_zeros,11,11,1,76,0.14473684210526316,0.013157894736842105
unaligned,unaligned_version_23.pkl,,audio,heuristic_internal_zeros,16,16,1,76,0.21052631578947367,0.013157894736842105
unaligned,unaligned_version_23.pkl,,audio,heuristic_internal_zeros,18,18,1,76,0.23684210526315788,0.013157894736842105
unaligned,unaligned_version_23.pkl,,audio,heuristic_internal_zeros,24,24,1,76,0.3157894736842105,0.013157894736842105
unaligned,unaligned_version_23.pkl,,audio,heuristic_internal_zeros,28,28,1,76,0.3684210526315789,0.013157894736842105
unaligned,unaligned_version_23.pkl,,audio,heuristic_internal_zeros,34,37,4,76,0.4473684210526316,0.05263157894736842
unaligned,unaligned_version_23.pkl,,audio,heuristic_internal_zeros,40,40,1,76,0.5263157894736842,0.013157894736842105
unaligned,unaligned_version_23.pkl,,audio,heuristic_internal_zeros,42,42,1,76,0.5526315789473685,0.013157894736842105
unaligned,unaligned_version_23.pkl,,audio,heuristic_internal_zeros,51,52,2,76,0.6710526315789473,0.02631578947368421
unaligned,unaligned_version_23.pkl,,audio,heuristic_internal_zeros,65,65,1,76,0.8552631578947368,0.013157894736842105
unaligned,unaligned_version_23.pkl,,audio,heuristic_internal_zeros,68,68,1,76,0.8947368421052632,0.013157894736842105
unaligned,unaligned_version_23.pkl,,audio,heuristic_internal_zeros,72,72,1,76,0.9473684210526315,0.013157894736842105
unaligned,unaligned_version_23.pkl,,audio,heuristic_internal_zeros,74,74,1,76,0.9736842105263158,0.013157894736842105
unaligned,unaligned_version_23.pkl,,vision,heuristic_internal_zeros,0,0,1,58,0.0,0.017241379310344827
unaligned,unaligned_version_23.pkl,,vision,heuristic_internal_zeros,2,2,1,58,0.034482758620689655,0.017241379310344827
unaligned,unaligned_version_23.pkl,,vision,heuristic_internal_zeros,6,6,1,58,0.10344827586206896,0.017241379310344827
unaligned,unaligned_version_23.pkl,,vision,heuristic_internal_zeros,9,9,1,58,0.15517241379310345,0.017241379310344827
unaligned,unaligned_version_23.pkl,,vision,heuristic_internal_zeros,14,14,1,58,0.2413793103448276,0.017241379310344827
unaligned,unaligned_version_23.pkl,,vision,heuristic_internal_zeros,21,21,1,58,0.3620689655172414,0.017241379310344827
unaligned,unaligned_version_23.pkl,,vision,heuristic_internal_zeros,23,23,1,58,0.39655172413793105,0.017241379310344827
unaligned,unaligned_version_23.pkl,,vision,heuristic_internal_zeros,25,25,1,58,0.43103448275862066,0.017241379310344827
unaligned,unaligned_version_23.pkl,,vision,heuristic_internal_zeros,28,28,1,58,0.4827586206896552,0.017241379310344827
unaligned,unaligned_version_23.pkl,,vision,heuristic_internal_zeros,32,32,1,58,0.5517241379310345,0.017241379310344827
unaligned,unaligned_version_23.pkl,,vision,heuristic_internal_zeros,34,35,2,58,0.5862068965517241,0.034482758620689655
unaligned,unaligned_version_23.pkl,,vision,heuristic_internal_zeros,40,41,2,58,0.6896551724137931,0.034482758620689655
unaligned,unaligned_version_23.pkl,,vision,heuristic_internal_zeros,50,52,3,58,0.8620689655172413,0.05172413793103448
unaligned,unaligned_version_24.pkl,zhNksSReaQk$_$27,audio,compared_with_dataset02,0,0,1,64,0.0,0.015625
unaligned,unaligned_version_24.pkl,zhNksSReaQk$_$27,audio,compared_with_dataset02,3,3,1,64,0.046875,0.015625
unaligned,unaligned_version_24.pkl,zhNksSReaQk$_$27,audio,compared_with_dataset02,11,11,1,64,0.171875,0.015625
unaligned,unaligned_version_24.pkl,zhNksSReaQk$_$27,audio,compared_with_dataset02,13,13,1,64,0.203125,0.015625
unaligned,unaligned_version_24.pkl,zhNksSReaQk$_$27,audio,compared_with_dataset02,17,17,1,64,0.265625,0.015625
unaligned,unaligned_version_24.pkl,zhNksSReaQk$_$27,audio,compared_with_dataset02,19,19,1,64,0.296875,0.015625
unaligned,unaligned_version_24.pkl,zhNksSReaQk$_$27,audio,compared_with_dataset02,21,22,2,64,0.328125,0.03125
unaligned,unaligned_version_24.pkl,zhNksSReaQk$_$27,audio,compared_with_dataset02,26,26,1,64,0.40625,0.015625
unaligned,unaligned_version_24.pkl,zhNksSReaQk$_$27,audio,compared_with_dataset02,28,28,1,64,0.4375,0.015625
unaligned,unaligned_version_24.pkl,zhNksSReaQk$_$27,audio,compared_with_dataset02,36,36,1,64,0.5625,0.015625
unaligned,unaligned_version_24.pkl,zhNksSReaQk$_$27,audio,compared_with_dataset02,42,42,1,64,0.65625,0.015625
unaligned,unaligned_version_24.pkl,zhNksSReaQk$_$27,audio,compared_with_dataset02,44,44,1,64,0.6875,0.015625
unaligned,unaligned_version_24.pkl,zhNksSReaQk$_$27,audio,compared_with_dataset02,49,49,1,64,0.765625,0.015625
unaligned,unaligned_version_24.pkl,zhNksSReaQk$_$27,audio,compared_with_dataset02,61,61,1,64,0.953125,0.015625
unaligned,unaligned_version_24.pkl,zhNksSReaQk$_$27,audio,compared_with_dataset02,63,63,1,64,0.984375,0.015625
unaligned,unaligned_version_24.pkl,zhNksSReaQk$_$27,vision,compared_with_dataset02,3,4,2,48,0.0625,0.041666666666666664
unaligned,unaligned_version_24.pkl,zhNksSReaQk$_$27,vision,compared_with_dataset02,8,8,1,48,0.16666666666666666,0.020833333333333332
unaligned,unaligned_version_24.pkl,zhNksSReaQk$_$27,vision,compared_with_dataset02,15,15,1,48,0.3125,0.020833333333333332
